p,l,sf,sn,nlml,nlml_opt
-2,-2,-0.5,-3,3640.69867564481,93.7838452282309
-2,-2,-0.5,-2.5,1440.64140561182,92.4668397404327
-2,-2,-0.1,-3,3372.35795162822,91.9393956505779
-2,-2,-0.1,-2.5,1360.78434311636,97.9352786582044
-2,1.5,-0.5,-3,56.7500322672897,8.66244183146792
-2,1.5,-0.5,-2.5,18.6409484999969,9.42002066562489
-2,1.5,-0.1,-3,52.2726464826559,8.66244327006254
-2,1.5,-0.1,-2.5,17.4766676010997,9.41783981795453
-2,2,-0.5,-3,113.096242878826,11.9022316324444
-2,2,-0.5,-2.5,49.1437579244272,11.9027163716118
-2,2,-0.1,-3,85.3181823383908,11.8999139528768
-2,2,-0.1,-2.5,28.182304414641,11.9008556980914
-1,-2,-0.5,-3,5098.1831668315,85.0400063390815
-1,-2,-0.5,-2.5,1882.08509079353,84.1213908874252
-1,-2,-0.1,-3,5022.60524590481,85.4128697099837
-1,-2,-0.1,-2.5,1853.33947900533,86.7260766766609
-1,1.5,-0.5,-3,692.187675018818,6.71355845936098
-1,1.5,-0.5,-2.5,392.54765200564,8.68807757495058
-1,1.5,-0.1,-3,494.444025564486,8.66394693729332
-1,1.5,-0.1,-2.5,249.487107788818,11.5335749714349
-1,2,-0.5,-3,4358.99285269783,11.5335834500838
-1,2,-0.5,-2.5,1614.24858806463,8.68306731034896
-1,2,-0.1,-3,4200.80197438238,8.66246201320291
-1,2,-0.1,-2.5,1577.26912002636,6.71641310280259
